This is a logfile generated by pires.obd.readerlat:47.11611333333334;long:17.916135;alt:265.09999999999997;vin:david3467_9;readings:M=...UNABLETOCONNECT; Timeout=OK; THROTTLE_POS=...UNABLETOCONNECT; Echo Off=OK; MAF=...UNABLETOCONNECT; AMBIENT_AIR_TEMP=...UNABLETOCONNECT; ENGINE_RUNTIME=...UNABLETOCONNECT; AIR_INTAKE_TEMP=...UNABLETOCONNECT; Line Feed Off=OK; FUEL_TYPE=...UNABLETOCONNECT; VIN=...UNABLETOCONNECT; Reset OBD=ATZELM327v1.5; ENGINE_LOAD=...UNABLETOCONNECT; Select Protocol AUTO=OK; INTAKE_MANIFOLD_PRESSURE=...UNABLETOCONNECT; ENGINE_COOLANT_TEMP=nulltrip_num: 10;teacher_id: 2;
TIME;LATITUDE;LONGITUDE;ALTITUDE;STUDENT_ID;TRIP_NUM;TEACHER_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1696426492283;47.11312833333333;17.91456833333333;269.7;david3467_9;10;2;null;84C;null;31,4%;NODATA;1614RPM;94kPa;NODATA;null;null;null;NODATA;31C;null;30km/h;null;null;NODATA;62,0%;null;null;null;null
1696426496337;47.11318166666667;17.91503833333333;270.8;david3467_9;10;2;null;84C;null;10,6%;NODATA;1617RPM;77kPa;NODATA;null;null;null;NODATA;30C;null;38km/h;null;null;NODATA;27,1%;null;null;null;null
1696426500364;47.11325166666667;17.91566;271.8;david3467_9;10;2;null;84C;null;10,6%;NODATA;1747RPM;63kPa;NODATA;null;null;null;NODATA;30C;null;42km/h;null;null;NODATA;23,9%;null;null;null;null
1696426504403;47.11329666666667;17.916195000000002;272.5;david3467_9;10;2;null;84C;null;5,5%;NODATA;1543RPM;21kPa;NODATA;null;null;null;NODATA;33C;null;23km/h;null;null;NODATA;15,7%;null;null;null;null
1696426508439;47.113413333333334;17.916401666666665;269.5;david3467_9;10;2;null;84C;null;2,4%;NODATA;770RPM;24kPa;NODATA;null;null;null;NODATA;36C;null;16km/h;null;null;NODATA;14,5%;null;null;null;null
1696426512465;47.113575000000004;17.916365;267.5;david3467_9;10;2;null;84C;null;2,7%;NODATA;736RPM;26kPa;NODATA;null;null;null;NODATA;37C;null;12km/h;null;null;NODATA;14,1%;null;null;null;null
1696426516503;47.113681666666665;17.916341666666664;267.09999999999997;david3467_9;10;2;null;84C;null;2,7%;NODATA;750RPM;43kPa;NODATA;null;null;null;NODATA;37C;null;12km/h;null;null;NODATA;18,8%;null;null;null;null
1696426520545;47.113835;17.916308333333333;265.8;david3467_9;10;2;null;84C;null;9,0%;NODATA;1810RPM;20kPa;NODATA;null;null;null;NODATA;36C;null;13km/h;null;null;NODATA;16,9%;null;null;null;null
1696426524579;47.11396;17.916301666666666;263.59999999999997;david3467_9;10;2;null;84C;null;6,3%;NODATA;1699RPM;27kPa;NODATA;null;null;null;NODATA;36C;null;15km/h;null;null;NODATA;18,8%;null;null;null;null
1696426528617;47.114129999999996;17.916373333333336;263.4;david3467_9;10;2;null;84C;null;8,6%;NODATA;2006RPM;30kPa;NODATA;null;null;null;NODATA;34C;null;18km/h;null;null;NODATA;20,4%;null;null;null;null
1696426532662;47.114316666666674;17.916386666666664;266.0;david3467_9;10;2;null;83C;null;12,2%;NODATA;1276RPM;20kPa;NODATA;null;null;null;NODATA;34C;null;18km/h;null;null;NODATA;15,3%;null;null;null;null
1696426536693;47.114515;17.916363333333333;269.0;david3467_9;10;2;null;83C;null;7,8%;NODATA;1422RPM;21kPa;NODATA;null;null;null;NODATA;35C;null;18km/h;null;null;NODATA;15,7%;null;null;null;null
1696426540718;47.11469333333333;17.916324999999997;274.4;david3467_9;10;2;null;83C;null;5,1%;NODATA;1275RPM;25kPa;NODATA;null;null;null;NODATA;36C;null;17km/h;null;null;NODATA;15,3%;null;null;null;null
1696426544756;47.11492166666667;17.916273333333333;275.8;david3467_9;10;2;null;83C;null;10,2%;NODATA;1383RPM;25kPa;NODATA;null;null;null;NODATA;35C;null;20km/h;null;null;NODATA;19,2%;null;null;null;null
1696426548779;47.11510166666667;17.916218333333333;273.3;david3467_9;10;2;null;83C;null;4,3%;NODATA;1300RPM;21kPa;NODATA;null;null;null;NODATA;36C;null;16km/h;null;null;NODATA;15,3%;null;null;null;null
1696426552822;47.11525666666667;17.916181666666667;270.9;david3467_9;10;2;null;83C;null;3,1%;NODATA;1063RPM;21kPa;NODATA;null;null;null;NODATA;37C;null;15km/h;null;null;NODATA;14,9%;null;null;null;null
1696426556846;47.11544166666666;17.916133333333335;270.3;david3467_9;10;2;null;83C;null;3,5%;NODATA;1034RPM;44kPa;NODATA;null;null;null;NODATA;37C;null;16km/h;null;null;NODATA;18,4%;null;null;null;null
1696426560880;47.11568666666667;17.916073333333333;270.5;david3467_9;10;2;null;84C;null;14,5%;NODATA;1326RPM;79kPa;NODATA;null;null;null;NODATA;34C;null;28km/h;null;null;NODATA;27,5%;null;null;null;null
1696426564912;47.115985;17.915965000000003;273.5;david3467_9;10;2;null;84C;null;15,7%;NODATA;1467RPM;33kPa;NODATA;null;null;null;NODATA;33C;null;35km/h;null;null;NODATA;24,3%;null;null;null;null
1696426568936;47.11620500000001;17.915906666666668;274.8;david3467_9;10;2;null;84C;null;3,1%;NODATA;798RPM;26kPa;NODATA;null;null;null;NODATA;35C;null;6km/h;null;null;NODATA;14,1%;null;null;null;null
1696426572960;47.116255;17.91591833333333;276.2;david3467_9;10;2;null;84C;null;2,7%;NODATA;732RPM;24kPa;NODATA;null;null;null;NODATA;37C;null;3km/h;null;null;NODATA;14,1%;null;null;null;null
1696426576997;47.11631166666666;17.91588833333333;273.9;david3467_9;10;2;null;84C;null;10,2%;NODATA;1235RPM;24kPa;NODATA;null;null;null;NODATA;36C;null;3km/h;null;null;NODATA;14,9%;null;null;null;null
1696426581029;47.11635166666667;17.915653333333335;268.0;david3467_9;10;2;null;84C;null;33,3%;NODATA;2050RPM;50kPa;NODATA;null;null;null;NODATA;33C;null;23km/h;null;null;NODATA;19,2%;null;null;null;null
1696426585061;47.11630166666667;17.915235;266.59999999999997;david3467_9;10;2;null;84C;null;27,5%;NODATA;1983RPM;30kPa;NODATA;null;null;null;NODATA;33C;null;25km/h;null;null;NODATA;16,9%;null;null;null;null
1696426589106;47.116488333333336;17.915088333333333;262.9;david3467_9;10;2;null;84C;null;3,9%;NODATA;831RPM;29kPa;NODATA;null;null;null;NODATA;35C;null;21km/h;null;null;NODATA;17,3%;null;null;null;null
1696426593147;47.116656666666664;17.914930000000002;261.2;david3467_9;10;2;null;84C;null;5,9%;NODATA;1497RPM;20kPa;NODATA;null;null;null;NODATA;35C;null;17km/h;null;null;NODATA;15,7%;null;null;null;null
1696426597195;47.11658333333333;17.914653333333334;262.9;david3467_9;10;2;null;84C;null;10,2%;NODATA;1251RPM;71kPa;NODATA;null;null;null;NODATA;34C;null;26km/h;null;null;NODATA;24,3%;null;null;null;null
1696426601236;47.11648;17.914451666666665;267.0;david3467_9;10;2;null;84C;null;7,1%;NODATA;1001RPM;24kPa;NODATA;null;null;null;NODATA;35C;null;0km/h;null;null;NODATA;14,5%;null;null;null;null
1696426605276;47.11648;17.914451666666665;267.0;david3467_9;10;2;null;84C;null;3,9%;NODATA;1090RPM;31kPa;NODATA;null;null;null;NODATA;34C;null;6km/h;null;null;NODATA;26,7%;null;null;null;null
1696426609334;47.11647166666667;17.914353333333334;271.9;david3467_9;10;2;null;84C;null;3,5%;NODATA;852RPM;25kPa;NODATA;null;null;null;NODATA;36C;null;2km/h;null;null;NODATA;14,5%;null;null;null;null
1696426613381;47.116415;17.91427333333333;271.8;david3467_9;10;2;null;84C;null;16,1%;NODATA;1585RPM;27kPa;NODATA;null;null;null;NODATA;34C;null;11km/h;null;null;NODATA;16,9%;null;null;null;null
1696426617409;47.116318333333325;17.91430666666667;273.09999999999997;david3467_9;10;2;null;84C;null;3,1%;NODATA;783RPM;24kPa;NODATA;null;null;null;NODATA;36C;null;10km/h;null;null;NODATA;15,3%;null;null;null;null
1696426621448;47.116235;17.914425;271.7;david3467_9;10;2;null;84C;null;2,7%;NODATA;742RPM;34kPa;NODATA;null;null;null;NODATA;38C;null;10km/h;null;null;NODATA;14,1%;null;null;null;null
1696426625481;47.116241666666674;17.91462;270.5;david3467_9;10;2;null;84C;null;9,8%;NODATA;1833RPM;26kPa;NODATA;null;null;null;NODATA;36C;null;10km/h;null;null;NODATA;17,3%;null;null;null;null
1696426629550;47.116241666666674;17.91467833333333;270.4;david3467_9;10;2;null;84C;null;3,1%;NODATA;756RPM;27kPa;NODATA;null;null;null;NODATA;37C;null;0km/h;null;null;NODATA;14,1%;null;null;null;null
